                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     70,                0.74845,                0.71838,                 1.0059,                0.83841,                0.86437,                0.90636,                0.65699,                0.98485,                0.85026,                 1.0712,             0.00061238,             0.00061238,             0.00061238
                     71,                0.75647,                0.71301,                0.98742,                0.83282,                0.87937,                0.90585,                0.65183,                 1.0071,                0.83733,                 1.0866,             0.00060505,             0.00060505,             0.00060505
                     72,                 0.7568,                0.70341,                0.99596,                0.88357,                0.87664,                0.92671,                0.67357,                0.98224,                0.78778,                 1.0844,             0.00059772,             0.00059772,             0.00059772
                     73,                0.74193,                0.71117,                0.98729,                0.89133,                0.90413,                0.93973,                 0.6827,                0.95334,                0.75936,                 1.0667,             0.00059039,             0.00059039,             0.00059039
                     74,                0.76137,                0.69934,                 0.9948,                 0.9383,                0.87243,                0.93736,                0.68892,                0.91512,                0.76409,                  1.057,             0.00058305,             0.00058305,             0.00058305
                     75,                 0.7016,                0.68307,                0.97782,                0.88061,                 0.9176,                0.94367,                0.69046,                0.90781,                0.77815,                 1.0591,             0.00057572,             0.00057572,             0.00057572
                     76,                0.70246,                0.69482,                0.97858,                0.85718,                0.93491,                0.93534,                0.69596,                0.89243,                  0.761,                 1.0497,             0.00056839,             0.00056839,             0.00056839
                     77,                0.69683,                0.66748,                0.98466,                0.89967,                0.89612,                0.92796,                0.69406,                0.90289,                0.73166,                 1.0615,             0.00056105,             0.00056105,             0.00056105
                     78,                0.73313,                0.68244,                0.96631,                0.87108,                0.93214,                0.92548,                0.70094,                0.89533,                0.71632,                 1.0553,             0.00055372,             0.00055372,             0.00055372
                     79,                0.70063,                0.66162,                0.98639,                0.87406,                0.93365,                0.91659,                0.70086,                0.89594,                0.71397,                 1.0541,             0.00054639,             0.00054639,             0.00054639
                     80,                0.72855,                0.69481,                0.98849,                0.87742,                0.91794,                0.91878,                0.69622,                0.87946,                0.70933,                 1.0352,             0.00053906,             0.00053906,             0.00053906
                     81,                0.71354,                0.66412,                0.97238,                0.88504,                0.91643,                0.91609,                0.69826,                0.86641,                0.69157,                 1.0287,             0.00053172,             0.00053172,             0.00053172
                     82,                  0.669,                0.63465,                0.96491,                0.90563,                0.88768,                0.91912,                0.69732,                0.86872,                0.68906,                 1.0345,             0.00052439,             0.00052439,             0.00052439
                     83,                0.68277,                0.65031,                0.96988,                0.87926,                 0.9361,                0.93226,                  0.706,                 0.8797,                 0.6875,                 1.0328,             0.00051706,             0.00051706,             0.00051706
                     84,                0.70943,                 0.6515,                0.96708,                0.90221,                0.94479,                0.94209,                 0.6918,                0.92355,                0.70298,                 1.0357,             0.00050973,             0.00050973,             0.00050973
